key,value,date
ÁBEL,121,2000
ÁDÁM,1254,2000
ADRIÁN,319,2000
ÁGOSTON,,2000
ÁKOS,708,2000
ALBERT,45,2000
ALEX,499,2000
ALEXANDER,81,2000
ÁLMOS,,2000
ANDOR,,2000
ANDRÁS,744,2000
ANTAL,75,2000
ARMAND,,2000
ÁRMIN,45,2000
ARNOLD,84,2000
ÁRON,340,2000
ÁRPÁD,107,2000
ATTILA,959,2000
BALÁZS,1306,2000
BÁLINT,825,2000
BARNA,66,2000
BARNABÁS,299,2000
BÉLA,131,2000
BENCE,1790,2000
BENDE,,2000
BENDEGÚZ,101,2000
BENEDEK,307,2000
BENETT,,2000
BENJAMIN,45,2000
BENJÁMIN,221,2000
BERTALAN,93,2000
BOLDIZSÁR,76,2000
BOTOND,285,2000
BRÁJEN,,2000
BRENDON,,2000
BULCSÚ,,2000
CSABA,635,2000
CSANÁD,54,2000
CSONGOR,76,2000
DÁNIEL,1833,2000
DÁVID,1793,2000
DÉNES,77,2000
DENISZ,,2000
DEZSŐ,48,2000
DOMINIK,884,2000
DOMONKOS,89,2000
DONÁT,90,2000
DORIÁN,,2000
ENDRE,,2000
ERIK,487,2000
ERNŐ,,2000
FÉLIX,,2000
FERENC,483,2000
FLÓRIÁN,52,2000
GÁBOR,1001,2000
GELLÉRT,,2000
GERGELY,464,2000
GERGŐ,1029,2000
GÉZA,66,2000
GYÖRGY,223,2000
GYULA,208,2000
HENRIK,69,2000
HUBA,,2000
HUNOR,,2000
IMRE,257,2000
ISTVÁN,934,2000
IVÁN,,2000
JÁNOS,645,2000
JENŐ,,2000
JÓZSEF,702,2000
KÁLMÁN,59,2000
KÁROLY,170,2000
KENDE,,2000
KEVIN,254,2000
KOLOS,,2000
KOPPÁNY,,2000
KORNÉL,199,2000
KRISTÓF,729,2000
KRISZTIÁN,977,2000
KRISZTOFER,244,2000
LAJOS,180,2000
LÁSZLÓ,1128,2000
LEVENTE,741,2000
LÓRÁNT,,2000
LŐRINC,,2000
MARCELL,556,2000
MÁRIÓ,81,2000
MÁRK,1227,2000
MÁRKÓ,93,2000
MARTIN,961,2000
MÁRTON,496,2000
MÁTÉ,1471,2000
MÁTYÁS,229,2000
MIHÁLY,231,2000
MIKLÓS,208,2000
MILÁN,406,2000
NÁNDOR,117,2000
NIKOLASZ,,2000
NIMRÓD,,2000
NOEL,60,2000
NOLEN,,2000
NORBERT,781,2000
OLIVÉR,233,2000
PÁL,110,2000
PATRIK,1050,2000
PÉTER,1324,2000
RAJMUND,61,2000
RENÁTÓ,111,2000
RICHÁRD,832,2000
RIKÁRDÓ,,2000
RÓBERT,590,2000
ROLAND,810,2000
RÓMEÓ,,2000
RUDOLF,47,2000
SÁMUEL,,2000
SÁNDOR,610,2000
SEBESTYÉN,,2000
SIMON,,2000
SOMA,119,2000
SZABOLCS,505,2000
SZEBASZTIÁN,,2000
SZILÁRD,102,2000
SZILVESZTER,82,2000
TAMÁS,1376,2000
TIBOR,408,2000
VALENTIN,57,2000
VENCEL,,2000
VIKTOR,467,2000
VILMOS,61,2000
VINCE,50,2000
ZALÁN,117,2000
ZÉNÓ,,2000
ZENTE,,2000
ZÉTÉNY,,2000
ZOLTÁN,1111,2000
ZSIGMOND,,2000
ZSOLT,869,2000
ZSOMBOR,254,2000
ÁBEL,107,2001
ÁDÁM,1240,2001
ADRIÁN,495,2001
ÁGOSTON,,2001
ÁKOS,608,2001
ALBERT,,2001
ALEX,394,2001
ALEXANDER,72,2001
ÁLMOS,,2001
ANDOR,,2001
ANDRÁS,789,2001
ANTAL,79,2001
ARMAND,,2001
ÁRMIN,72,2001
ARNOLD,51,2001
ÁRON,343,2001
ÁRPÁD,98,2001
ATTILA,920,2001
BALÁZS,1254,2001
BÁLINT,1069,2001
BARNA,70,2001
BARNABÁS,384,2001
BÉLA,142,2001
BENCE,1891,2001
BENDE,,2001
BENDEGÚZ,110,2001
BENEDEK,345,2001
BENETT,,2001
BENJAMIN,59,2001
BENJÁMIN,247,2001
BERTALAN,66,2001
BOLDIZSÁR,79,2001
BOTOND,329,2001
BRÁJEN,,2001
BRENDON,,2001
BULCSÚ,,2001
CSABA,569,2001
CSANÁD,72,2001
CSONGOR,110,2001
DÁNIEL,1675,2001
DÁVID,1574,2001
DÉNES,69,2001
DENISZ,,2001
DEZSŐ,,2001
DOMINIK,817,2001
DOMONKOS,85,2001
DONÁT,96,2001
DORIÁN,,2001
ENDRE,,2001
ERIK,446,2001
ERNŐ,49,2001
FÉLIX,,2001
FERENC,487,2001
FLÓRIÁN,44,2001
GÁBOR,948,2001
GELLÉRT,,2001
GERGELY,428,2001
GERGŐ,1074,2001
GÉZA,50,2001
GYÖRGY,196,2001
GYULA,179,2001
HENRIK,69,2001
HUBA,,2001
HUNOR,50,2001
IMRE,275,2001
ISTVÁN,869,2001
IVÁN,,2001
JÁNOS,645,2001
JENŐ,46,2001
JÓZSEF,659,2001
KÁLMÁN,,2001
KÁROLY,172,2001
KENDE,,2001
KEVIN,302,2001
KOLOS,,2001
KOPPÁNY,,2001
KORNÉL,173,2001
KRISTÓF,835,2001
KRISZTIÁN,1018,2001
KRISZTOFER,250,2001
LAJOS,179,2001
LÁSZLÓ,1100,2001
LEVENTE,864,2001
LÓRÁNT,,2001
LŐRINC,,2001
MARCELL,576,2001
MÁRIÓ,78,2001
MÁRK,1220,2001
MÁRKÓ,121,2001
MARTIN,890,2001
MÁRTON,492,2001
MÁTÉ,1453,2001
MÁTYÁS,256,2001
MIHÁLY,212,2001
MIKLÓS,217,2001
