key,value,date
ÁBEL,1843,2003
ÁBEL,1574,2004
ÁBEL,1456,2005
ÁBEL,1449,2006
ÁBEL,1319,2007
ÁBEL,1286,2008
ÁDÁM,1231,2003
ÁDÁM,1191,2004
ÁDÁM,1103,2005
ÁDÁM,1065,2006
ÁDÁM,1038,2007
ÁDÁM,1017,2008
ADRIÁN,1005,2003
ADRIÁN,1002,2004
ADRIÁN,990,2005
ADRIÁN,889,2006
ADRIÁN,871,2007
ADRIÁN,861,2008
ÁGOSTON,849,2003
ÁGOSTON,,2005
ÁGOSTON,837,2004
ÁGOSTON,784,2006
ÁGOSTON,778,2007
ÁGOSTON,747,2008
ÁKOS,711,2003
ÁKOS,705,2004
ÁKOS,628,2005
ÁKOS,605,2006
ÁKOS,572,2007
ÁKOS,566,2008
ALEX,555,2003
ALEX,540,2004
ALEX,523,2005
ALEX,513,2006
ALEX,508,2007
ALEX,504,2008
ALEXANDER,482,2003
ALEXANDER,464,2004
ALEXANDER,444,2005
ALEXANDER,443,2006
ALEXANDER,440,2007
ALEXANDER,417,2008
ÁLMOS,,2003
ÁLMOS,,2004
ÁLMOS,,2005
ÁLMOS,411,2006
ÁLMOS,397,2007
ÁLMOS,396,2008
ANDOR,,2008
ANDOR,,2004
ANDOR,381,2003
ANDOR,375,2005
ANDOR,353,2006
ANDOR,347,2007
ANDRÁS,312,2003
ANDRÁS,300,2004
ANDRÁS,276,2005
ANDRÁS,266,2006
ANDRÁS,258,2007
ANDRÁS,236,2008
ANTAL,234,2003
ANTAL,211,2004
ANTAL,208,2005
ANTAL,197,2006
ANTAL,,2007
ANTAL,,2008
ÁRMIN,168,2003
ÁRMIN,163,2004
ÁRMIN,161,2005
ÁRMIN,160,2006
ÁRMIN,138,2007
ÁRMIN,135,2008
ÁRON,117,2003
ÁRON,114,2004
ÁRON,112,2005
ÁRON,110,2006
ÁRON,110,2007
ÁRON,105,2008
ÁRPÁD,101,2003
ÁRPÁD,101,2004
ÁRPÁD,101,2005
ÁRPÁD,91,2006
ÁRPÁD,88,2007
ÁRPÁD,87,2008
ATTILA,86,2003
ATTILA,84,2004
ATTILA,84,2005
ATTILA,81,2006
ATTILA,81,2007
ATTILA,80,2008
BALÁZS,77,2003
BALÁZS,74,2004
BALÁZS,73,2005
BALÁZS,71,2006
BALÁZS,68,2007
BALÁZS,68,2008
BÁLINT,65,2003
BÁLINT,64,2004
BÁLINT,62,2005
BÁLINT,60,2006
BÁLINT,59,2007
BÁLINT,58,2008
BARNA,58,2003
BARNA,1889,2004
BARNA,1571,2005
BARNA,1409,2006
BARNA,1390,2007
BARNA,1325,2008
BARNABÁS,1264,2003
BARNABÁS,1193,2004
BARNABÁS,1176,2005
BARNABÁS,1168,2006
BARNABÁS,1162,2007
BARNABÁS,1137,2008
BÉLA,1040,2003
BÉLA,950,2004
BÉLA,946,2005
BÉLA,926,2006
BÉLA,836,2007
BÉLA,833,2008
BENCE,826,2003
BENCE,796,2004
BENCE,784,2005
BENCE,732,2006
BENCE,726,2007
BENCE,695,2008
BENDEGÚZ,692,2003
BENDEGÚZ,692,2004
BENDEGÚZ,668,2005
BENDEGÚZ,641,2006
BENDEGÚZ,635,2007
BENDEGÚZ,613,2008
BENEDEK,584,2003
BENEDEK,582,2004
BENEDEK,575,2005
BENEDEK,548,2006
BENEDEK,534,2007
BENEDEK,497,2008
BENJÁMIN,429,2003
BENJÁMIN,425,2004
BENJÁMIN,419,2005
BENJÁMIN,415,2006
BENJÁMIN,412,2007
BENJÁMIN,387,2008
BERTALAN,377,2003
BERTALAN,346,2004
BERTALAN,340,2005
BERTALAN,320,2006
BERTALAN,313,2007
BERTALAN,302,2008
BOLDIZSÁR,285,2003
BOLDIZSÁR,271,2004
BOLDIZSÁR,251,2005
BOLDIZSÁR,238,2006
BOLDIZSÁR,219,2007
BOLDIZSÁR,200,2008
BOTOND,197,2003
BOTOND,195,2004
BOTOND,189,2005
BOTOND,181,2006
BOTOND,176,2007
BOTOND,159,2008
BRENDON,,2003
BRENDON,156,2004
BRENDON,153,2005
BRENDON,145,2006
BRENDON,137,2007
BRENDON,131,2008
CSABA,131,2003
CSABA,121,2004
CSABA,119,2005
CSABA,116,2006
CSABA,116,2007
CSABA,115,2008
CSANÁD,112,2003
CSANÁD,112,2004
CSANÁD,99,2005
CSANÁD,98,2006
CSANÁD,97,2007
CSANÁD,96,2008
CSONGOR,89,2003
CSONGOR,88,2004
CSONGOR,87,2005
CSONGOR,85,2006
CSONGOR,85,2007
CSONGOR,79,2008
DÁNIEL,78,2003
DÁNIEL,78,2004
DÁNIEL,74,2005
DÁNIEL,71,2006
DÁNIEL,68,2007
DÁNIEL,66,2008
DÁVID,66,2003
DÁVID,64,2004
DÁVID,63,2005
DÁVID,61,2006
DÁVID,60,2007
DÁVID,59,2008
DÉNES,58,2003
DÉNES,55,2004
DÉNES,1844,2005
DÉNES,1663,2006
DÉNES,1501,2007
DÉNES,1453,2008
DOMINIK,1447,2003
DOMINIK,1277,2004
DOMINIK,1272,2005
DOMINIK,1152,2006
DOMINIK,1121,2007
DOMINIK,1103,2008
DOMONKOS,1076,2003
DOMONKOS,1065,2004
DOMONKOS,983,2005
DOMONKOS,918,2006
DOMONKOS,916,2007
DOMONKOS,898,2008
DONÁT,896,2003
DONÁT,829,2004
DONÁT,794,2005
DONÁT,783,2006
DONÁT,754,2007
DONÁT,738,2008
ERIK,693,2003
ERIK,680,2004
ERIK,648,2005
ERIK,642,2006
ERIK,638,2007
ERIK,621,2008
FERENC,602,2003
FERENC,600,2004
FERENC,575,2005
FERENC,557,2006
FERENC,535,2007
FERENC,526,2008
GÁBOR,504,2003
GÁBOR,458,2004
GÁBOR,436,2005
GÁBOR,431,2006
GÁBOR,408,2007
GÁBOR,399,2008
GERGELY,392,2003
GERGELY,383,2004
GERGELY,338,2005
GERGELY,336,2006
GERGELY,331,2007
GERGELY,324,2008
GERGŐ,299,2003
GERGŐ,268,2004
GERGŐ,255,2005
GERGŐ,247,2006
GERGŐ,218,2007
GERGŐ,202,2008
GYÖRGY,198,2003
GYÖRGY,197,2004
GYÖRGY,196,2005
GYÖRGY,193,2006
GYÖRGY,174,2007
GYÖRGY,174,2008
GYULA,173,2003
GYULA,160,2004
GYULA,153,2005
GYULA,143,2006
GYULA,140,2007
GYULA,137,2008
HUNOR,128,2003
HUNOR,124,2004
HUNOR,124,2005
HUNOR,115,2006
HUNOR,112,2007
HUNOR,111,2008
IMRE,109,2003
IMRE,105,2004
IMRE,105,2005
IMRE,99,2006
IMRE,98,2007
IMRE,97,2008
ISTVÁN,97,2003
ISTVÁN,89,2004
ISTVÁN,87,2005
ISTVÁN,85,2006
ISTVÁN,79,2007
ISTVÁN,79,2008
JÁNOS,79,2003
JÁNOS,77,2004
JÁNOS,75,2005
JÁNOS,72,2006
