key,value,date
ABIGÉL,,2003
ADÉL,160,2003
ADRIENN,331,2003
ÁGNES,176,2003
ALEXA,,2003
ALEXANDRA,717,2003
ALÍZ,,2003
AMANDA,,2003
AMIRA,,2003
ANDREA,214,2003
ANETT,,2003
ANITA,205,2003
ANNA,1276,2003
ANNABELLA,,2003
ANNAMÁRIA,138,2003
BARBARA,466,2003
BEATRIX,175,2003
BELLA,,2003
BERNADETT,289,2003
BETTINA,244,2003
BIANKA,572,2003
BÍBORKA,,2003
BLANKA,205,2003
BOGLÁRKA,905,2003
BORBÁLA,151,2003
BORÓKA,,2003
BRIGITTA,258,2003
CINTIA,332,2003
CSENGE,519,2003
CSILLA,135,2003
DALMA,119,2003
DIÁNA,176,2003
DOMINIKA,327,2003
DÓRA,801,2003
DORINA,715,2003
DORKA,245,2003
DOROTTYA,323,2003
DZSENIFER,359,2003
DZSESSZIKA,,2003
EDINA,155,2003
ELIZA,,2003
ELIZABET,151,2003
EMESE,282,2003
EMILI,,2003
EMÍLIA,,2003
EMMA,157,2003
ENIKŐ,370,2003
ERIKA,150,2003
ESZTER,859,2003
ÉVA,180,2003
EVELIN,429,2003
FANNI,1064,2003
FLÓRA,261,2003
FRUZSINA,312,2003
GABRIELLA,203,2003
GEORGINA,123,2003
GRÉTA,446,2003
HAJNALKA,128,2003
HANGA,,2003
HANNA,397,2003
HÉDI,,2003
HENRIETTA,163,2003
IVETT,119,2003
IZABELLA,122,2003
JANKA,165,2003
JÁZMIN,390,2003
JOHANNA,,2003
JUDIT,136,2003
JÚLIA,169,2003
JULIANNA,,2003
KAMILLA,180,2003
KATA,337,2003
KATALIN,247,2003
KIARA,,2003
KINCSŐ,,2003
KINGA,299,2003
KIRA,,2003
KÍRA,202,2003
KITTI,526,2003
KLAUDIA,382,2003
KRISZTINA,415,2003
LARA,,2003
LAURA,802,2003
LEILA,,2003
LÉNA,,2003
LETÍCIA,,2003
LIA,,2003
LILI,649,2003
LILIÁNA,172,2003
LILIEN,,2003
LILLA,516,2003
LINETT,,2003
LÍVIA,,2003
LIZA,,2003
LOTTI,,2003
LUCA,438,2003
MAJA,,2003
MÁRIA,173,2003
MELINDA,155,2003
MELISSZA,,2003
MERCÉDESZ,227,2003
MIA,,2003
MIRA,,2003
MÍRA,,2003
MIRELLA,,2003
MÓNIKA,224,2003
NATÁLIA,184,2003
NATASA,,2003
NIKOLETT,602,2003
NIKOLETTA,236,2003
NOÉMI,557,2003
