key,value,date
ABIGÉL,,2000
ABIGÉL,,2001
ABIGÉL,,2002
ABIGÉL,,2003
ABIGÉL,,2004
ABIGÉL,,2005
ABIGÉL,,2006
ABIGÉL,,2007
ABIGÉL,,2008
ABIGÉL,,2009
ABIGÉL,105,2010
ABIGÉL,129,2011
ABIGÉL,130,2012
ABIGÉL,149,2013
ABIGÉL,159,2014
ABIGÉL,186,2015
ABIGÉL,178,2016
ABIGÉL,199,2017
ABIGÉL,219,2018
ADÉL,132,2000
ADÉL,151,2001
ADÉL,174,2002
ADÉL,160,2003
ADÉL,173,2004
ADÉL,151,2005
ADÉL,157,2006
ADÉL,161,2007
ADÉL,190,2008
ADÉL,156,2009
ADÉL,185,2010
ADÉL,158,2011
ADÉL,227,2012
ADÉL,372,2013
ADÉL,354,2014
ADÉL,340,2015
ADÉL,357,2016
ADÉL,413,2017
ADÉL,387,2018
ADRIENN,411,2000
ADRIENN,394,2001
ADRIENN,385,2002
ADRIENN,331,2003
ADRIENN,321,2004
ADRIENN,259,2005
ADRIENN,276,2006
ADRIENN,266,2007
ADRIENN,240,2008
ADRIENN,206,2009
ADRIENN,174,2010
ADRIENN,173,2011
ADRIENN,168,2012
ADRIENN,138,2013
ADRIENN,135,2014
ADRIENN,120,2015
ADRIENN,123,2016
ADRIENN,115,2017
ADRIENN,,2018
ÁGNES,228,2000
ÁGNES,252,2001
ÁGNES,225,2002
ÁGNES,176,2003
ÁGNES,178,2004
ÁGNES,153,2005
ÁGNES,138,2006
ÁGNES,122,2007
ÁGNES,125,2008
ÁGNES,120,2009
ÁGNES,,2010
ÁGNES,,2011
ÁGNES,,2012
ÁGNES,,2013
ÁGNES,,2014
ÁGNES,,2015
ÁGNES,,2016
ÁGNES,,2017
ÁGNES,,2018
ALEXA,,2000
ALEXA,,2001
ALEXA,,2002
ALEXA,,2003
ALEXA,207,2004
ALEXA,172,2005
ALEXA,177,2006
ALEXA,181,2007
ALEXA,161,2008
ALEXA,146,2009
ALEXA,118,2010
ALEXA,104,2011
ALEXA,138,2012
ALEXA,,2013
ALEXA,130,2014
ALEXA,152,2015
ALEXA,125,2016
ALEXA,,2017
ALEXA,,2018
ALEXANDRA,1066,2000
ALEXANDRA,946,2001
ALEXANDRA,877,2002
ALEXANDRA,717,2003
ALEXANDRA,694,2004
ALEXANDRA,625,2005
ALEXANDRA,576,2006
ALEXANDRA,532,2007
ALEXANDRA,539,2008
ALEXANDRA,385,2009
ALEXANDRA,341,2010
ALEXANDRA,320,2011
ALEXANDRA,258,2012
ALEXANDRA,277,2013
ALEXANDRA,268,2014
ALEXANDRA,230,2015
ALEXANDRA,212,2016
ALEXANDRA,187,2017
ALEXANDRA,172,2018
ALÍZ,,2000
ALÍZ,,2001
ALÍZ,,2002
ALÍZ,,2003
ALÍZ,,2004
ALÍZ,,2005
ALÍZ,,2006
ALÍZ,,2007
ALÍZ,,2008
ALÍZ,,2009
ALÍZ,117,2010
ALÍZ,195,2011
ALÍZ,231,2012
ALÍZ,294,2013
ALÍZ,229,2014
ALÍZ,266,2015
ALÍZ,344,2016
ALÍZ,391,2017
ALÍZ,437,2018
AMANDA,,2000
AMANDA,,2001
AMANDA,131,2002
AMANDA,,2003
AMANDA,215,2004
AMANDA,301,2005
AMANDA,251,2006
AMANDA,272,2007
AMANDA,283,2008
AMANDA,249,2009
AMANDA,206,2010
AMANDA,172,2011
AMANDA,148,2012
AMANDA,126,2013
AMANDA,,2014
AMANDA,,2015
AMANDA,,2016
AMANDA,,2017
AMANDA,,2018
AMIRA,,2000
AMIRA,,2001
AMIRA,,2002
AMIRA,,2003
AMIRA,,2004
AMIRA,,2005
AMIRA,,2006
AMIRA,,2007
AMIRA,145,2008
AMIRA,123,2009
AMIRA,129,2010
AMIRA,124,2011
AMIRA,170,2012
AMIRA,230,2013
AMIRA,290,2014
AMIRA,331,2015
AMIRA,310,2016
AMIRA,259,2017
AMIRA,243,2018
ANDREA,265,2000
ANDREA,249,2001
ANDREA,250,2002
ANDREA,214,2003
ANDREA,199,2004
ANDREA,172,2005
ANDREA,164,2006
ANDREA,153,2007
ANDREA,132,2008
ANDREA,,2009
ANDREA,,2010
ANDREA,,2011
ANDREA,,2012
ANDREA,,2013
ANDREA,,2014
ANDREA,,2015
ANDREA,,2016
ANDREA,,2017
ANDREA,,2018
ANETT,233,2000
ANETT,208,2001
ANETT,157,2002
ANETT,,2003
ANETT,120,2004
ANETT,,2005
ANETT,,2006
ANETT,,2007
ANETT,,2008
ANETT,,2009
ANETT,,2010
ANETT,,2011
ANETT,,2012
ANETT,,2013
ANETT,,2014
ANETT,,2015
ANETT,,2016
ANETT,,2017
ANETT,,2018
ANITA,228,2000
ANITA,248,2001
ANITA,258,2002
ANITA,205,2003
ANITA,177,2004
ANITA,178,2005
ANITA,153,2006
ANITA,158,2007
ANITA,122,2008
ANITA,126,2009
ANITA,,2010
ANITA,,2011
ANITA,,2012
ANITA,,2013
ANITA,,2014
ANITA,,2015
ANITA,,2016
ANITA,,2017
ANITA,,2018
ANNA,1108,2000
ANNA,1234,2001
ANNA,1271,2002
ANNA,1276,2003
ANNA,1414,2004
ANNA,1511,2005
ANNA,1528,2006
ANNA,1415,2007
ANNA,1318,2008
ANNA,1255,2009
ANNA,1222,2010
ANNA,1245,2011
ANNA,1191,2012
ANNA,1169,2013
ANNA,1241,2014
ANNA,1194,2015
ANNA,1206,2016
ANNA,1171,2017
ANNA,1090,2018
ANNABELLA,,2000
ANNABELLA,,2001
ANNABELLA,,2002
ANNABELLA,,2003
ANNABELLA,,2004
ANNABELLA,,2005
ANNABELLA,,2006
ANNABELLA,,2007
ANNABELLA,,2008
ANNABELLA,,2009
ANNABELLA,,2010
ANNABELLA,,2011
ANNABELLA,,2012
ANNABELLA,,2013
ANNABELLA,,2014
ANNABELLA,138,2015
ANNABELLA,130,2016
ANNABELLA,128,2017
ANNABELLA,136,2018
ANNAMÁRIA,177,2000
ANNAMÁRIA,135,2001
ANNAMÁRIA,123,2002
ANNAMÁRIA,138,2003
ANNAMÁRIA,137,2004
ANNAMÁRIA,,2005
ANNAMÁRIA,,2006
ANNAMÁRIA,,2007
ANNAMÁRIA,,2008
ANNAMÁRIA,,2009
ANNAMÁRIA,,2010
ANNAMÁRIA,,2011
ANNAMÁRIA,,2012
ANNAMÁRIA,,2013
ANNAMÁRIA,,2014
ANNAMÁRIA,,2015
ANNAMÁRIA,,2016
ANNAMÁRIA,,2017
ANNAMÁRIA,,2018
ANTÓNIA,,2000
